Key,en,es,ar
Transaction Details,Transaction Details,Detalles de la transacción,تفاصيل المعاملة
Title,Title,Título,عنوان
Monthly Add Money Chart,Monthly Add Money Chart,Gráfico mensual para agregar dinero,مخطط إضافة الأموال شهريًا
Monthly Money Out Chart,Monthly Money Out Chart,Tabla de retiro de dinero mensual,الرسم البياني للأموال الشهرية
View User,View User,Ver usuario,عرض المستخدم
All Logs,All Logs,Todos los registros,جميع السجلات
Pending Logs,Pending Logs,Registros pendientes,السجلات المعلقة
Complete Logs,Complete Logs,Registros completos,سجلات كاملة
Canceled Logs,Canceled Logs,Registros cancelados,السجلات الملغاة
Dashboard,Dashboard,Panel,لوحة القيادة
Name,Name,Nombre,اسم
Total Users,Total Users,Usuarios totales,إجمالي المستخدمين
Unverified,Unverified,Inconfirmado,لم يتم التحقق منها
Banned,Banned,Prohibido,محظور
Add Money Balance,Add Money Balance,Agregar saldo de dinero,إضافة رصيد المال
Total,Total,Total,المجموع
Pending,Pending,Pendiente,قيد الانتظار
Money Out Balance,Money Out Balance,Saldo de salida de dinero,رصيد الأموال الخارجة
Add Money Request,Add Money Request,Agregar solicitud de dinero,إضافة طلب المال
Success,Success,Éxito,نجاح
Money Out Request,Money Out Request,Solicitud de retiro de dinero,طلب صرف الأموال
User Active Tickets,User Active Tickets,Entradas activas de usuario,تذاكر المستخدم النشطة
Solved,Solved,Resuelto,تم الحل
Total User Invest,Total User Invest,Inversión total del usuario,إجمالي استثمار المستخدم
Ongoing,Ongoing,En curso,مستمر
Completed,Completed,Terminado,مكتمل
Total Gold Orders,Total Gold Orders,Órdenes totales de oro,إجمالي طلبات الذهب
Delivered,Delivered,Entregado,تم التوصيل
Total Profit,Total Profit,Beneficio total,إجمالي الربح
Invest & Profit Chart,Invest & Profit Chart,Gráfico de inversiones y ganancias,مخطط الاستثمار والأرباح
User Analytics,User Analytics,Análisis de usuario,تحليلات المستخدم
New User,New User,Nuevo usuario,مستخدم جديد
Latest Add Money,Latest Add Money,Última adición de dinero,أحدث إضافة المال
Full Name,Full Name,Nombre completo,الاسم الكامل
Email,Email,Correo electrónico,بريد إلكتروني
Username,Username,Nombre de usuario,اسم المستخدم
Phone,Phone,Teléfono,هاتف
Amount,Amount,Cantidad,كمية
Gateway,Gateway,Puerta,بوابة
Status,Status,Estado,حالة
Time,Time,Tiempo,وقت
Type,Type,Tipo,يكتب
Purity,Purity,Pureza,نقاء
Manufacturer,Manufacturer,Fabricante,الشركة المصنعة
Country of Origin,Country of Origin,País natal,بلد المنشأ
Buy Gold,Buy Gold,Comprar oro,شراء الذهب
Price,Price,Precio,سعر
From,From,De,من
Profit Return Type,Profit Return Type,Tipo de retorno de ganancias,نوع عائد الربح
Plan Duration,Plan Duration,Duración del plan,مدة الخطة
Days,Days,Días,أيام
Day,Day,Día,يوم
Maximum Investment,Maximum Investment,Máxima Inversión,الحد الأقصى للاستثمار
Fixed Profit,Fixed Profit,Beneficio fijo,الربح الثابت
Percentage Profit,Percentage Profit,Beneficio porcentual,نسبة الربح
Just Click To Try This,Just Click To Try This,Simplemente haga clic para probar esto,فقط انقر لتجربة هذا
Invest Gold,Invest Gold,invertir oro,استثمر الذهب
Useful Links,Useful Links,Enlaces útiles,روابط مفيدة
Download App,Download App,Descargar aplicación,تحميل التطبيق
Newsletter,Newsletter,Hoja informativa,النشرة الإخبارية
Subscribe,Subscribe,Suscribir,يشترك
Order log,Order log,Registro de pedidos,سجل الطلب
Something went wrong! Please try again.,Something went wrong! Please try again.,¡Algo salió mal! Por favor inténtalo de nuevo.,حدث خطأ ما! يرجى المحاولة مرة أخرى.
Section updated successfully,Section updated successfully,Sección actualizada exitosamente,تم تحديث القسم بنجاح
Section item added successfully,Section item added successfully,Elemento de sección agregado exitosamente,تمت إضافة عنصر القسم بنجاح
Section not found,Section not found,Sección no encontrada,لم يتم العثور على القسم
Section item not found,Section item not found,Elemento de sección no encontrado,لم يتم العثور على عنصر القسم
Section item is invalid,Section item is invalid,El elemento de la sección no es válido,عنصر القسم غير صالح
Information updated successfully,Information updated successfully,Información actualizada exitosamente,تم تحديث المعلومات بنجاح
Section item delete successfully,Section item delete successfully,Elemento de sección eliminado correctamente,تم حذف عنصر القسم بنجاح
Section item deleted successfully,Section item deleted successfully,Elemento de sección eliminado correctamente,تم حذف عنصر القسم بنجاح
Auth updated successfully,Auth updated successfully,Autenticación actualizada exitosamente,تم تحديث المصادقة بنجاح
Your KYC information is submitted. Please wait for admin confirmation,Your KYC information is submitted. Please wait for admin confirmation,Se envía su información KYC. Espere la confirmación del administrador.,تم إرسال معلومات KYC الخاصة بك. الرجاء الانتظار لتأكيد المشرف
